C_Class	C_Name	P_Class	P_Name	File
0	Kanaa	0	Kanaa	23346_42.jpg
0	Kanaa	0	Kanaa	23360_07.jpg
0	Kanaa	0	Kanaa	23360_11.jpg
0	Kanaa	0	Kanaa	23360_17.jpg
0	Kanaa	0	Kanaa	CD_Black_Mesa_036.jpg
0	Kanaa	0	Kanaa	CD_Kanaa_017.jpg
0	Kanaa	0	Kanaa	CD_Kanaa_020.jpg
0	Kanaa	0	Kanaa	CD_Kanaa_021.jpg
0	Kanaa	0	Kanaa	CD_Kanaa_024.jpg
0	Kanaa	0	Kanaa	CD_Kanaa_031.jpg
0	Kanaa	0	Kanaa	CD_Kanaa_044.jpg
0	Kanaa	0	Kanaa	CD_Kanaa_048.jpg
0	Kanaa	1	Wepo	CD_Kanaa_052.jpg
0	Kanaa	0	Kanaa	CD_Kanaa_060.jpg
0	Kanaa	1	Wepo	CD_Kanaa_063.jpg
0	Kanaa	1	Wepo	CD_Kanaa_070.jpg
0	Kanaa	1	Wepo	CD_Kanaa_097.jpg
0	Kanaa	1	Wepo	CD_Kanaa_101.jpg
0	Kanaa	2	Black_Mesa	CD_Kanaa_104.jpg
0	Kanaa	0	Kanaa	CD_Kanaa_107.jpg
0	Kanaa	0	Kanaa	CD_Kanaa_114.jpg
0	Kanaa	0	Kanaa	CD_Kanaa_124.jpg
0	Kanaa	0	Kanaa	CD_Kanaa_149.jpg
0	Kanaa	0	Kanaa	CD_Kanaa_151.jpg
0	Kanaa	0	Kanaa	Kanaabw_23f.jpg
0	Kanaa	0	Kanaa	Kanaabw_24f.jpg
1	Wepo	3	Sosi	23344_46.jpg
1	Wepo	1	Wepo	23346_25.jpg
1	Wepo	0	Kanaa	23359_12.jpg
1	Wepo	2	Black_Mesa	23359_22.jpg
1	Wepo	1	Wepo	23359_28.jpg
1	Wepo	0	Kanaa	23364_06.jpg
1	Wepo	1	Wepo	CD_Black_Mesa_270.jpg
1	Wepo	1	Wepo	CD_Kanaa_027.jpg
1	Wepo	6	Tusayan	CD_Kanaa_042.jpg
1	Wepo	0	Kanaa	CD_Kanaa_051.jpg
1	Wepo	2	Black_Mesa	CD_Kanaa_053.jpg
1	Wepo	0	Kanaa	CD_Kanaa_079.jpg
1	Wepo	1	Wepo	CD_Kanaa_084.jpg
1	Wepo	0	Kanaa	CD_Kanaa_158.jpg
1	Wepo	0	Kanaa	CD_Wepo_001.jpg
1	Wepo	0	Kanaa	CD_Wepo_002.jpg
1	Wepo	0	Kanaa	CD_Wepo_016.jpg
1	Wepo	6	Tusayan	CD_Wepo_028.jpg
2	Black_Mesa	2	Black_Mesa	23342_01.jpg
2	Black_Mesa	2	Black_Mesa	23342_09.jpg
2	Black_Mesa	2	Black_Mesa	23342_60.jpg
2	Black_Mesa	2	Black_Mesa	23343_18.jpg
2	Black_Mesa	2	Black_Mesa	23343_23.jpg
2	Black_Mesa	3	Sosi	23343_36.jpg
2	Black_Mesa	2	Black_Mesa	23344_04.jpg
2	Black_Mesa	2	Black_Mesa	23344_17.jpg
2	Black_Mesa	2	Black_Mesa	23345_12.jpg
2	Black_Mesa	2	Black_Mesa	23345_25.jpg
2	Black_Mesa	3	Sosi	23345_30.jpg
2	Black_Mesa	2	Black_Mesa	23345_36.jpg
2	Black_Mesa	2	Black_Mesa	23345_40.jpg
2	Black_Mesa	2	Black_Mesa	23346_03.jpg
2	Black_Mesa	2	Black_Mesa	23346_16.jpg
2	Black_Mesa	2	Black_Mesa	23346_17.jpg
2	Black_Mesa	2	Black_Mesa	23346_19.jpg
2	Black_Mesa	2	Black_Mesa	23347_02.jpg
2	Black_Mesa	2	Black_Mesa	23347_03.jpg
2	Black_Mesa	2	Black_Mesa	23347_15.jpg
2	Black_Mesa	2	Black_Mesa	23347_24.jpg
2	Black_Mesa	2	Black_Mesa	23347_29.jpg
2	Black_Mesa	3	Sosi	23347_37.jpg
2	Black_Mesa	2	Black_Mesa	23348_06.jpg
2	Black_Mesa	2	Black_Mesa	23353_07.jpg
2	Black_Mesa	2	Black_Mesa	23353_10.jpg
2	Black_Mesa	2	Black_Mesa	23353_13.jpg
2	Black_Mesa	2	Black_Mesa	23355_03.jpg
2	Black_Mesa	2	Black_Mesa	23355_04.jpg
2	Black_Mesa	2	Black_Mesa	23356_23.jpg
2	Black_Mesa	2	Black_Mesa	23356_24.jpg
2	Black_Mesa	3	Sosi	23356_27.jpg
2	Black_Mesa	2	Black_Mesa	23356_28.jpg
2	Black_Mesa	3	Sosi	23356_29.jpg
2	Black_Mesa	2	Black_Mesa	23356_41.jpg
2	Black_Mesa	1	Wepo	23358_08.jpg
2	Black_Mesa	2	Black_Mesa	23359_07.jpg
2	Black_Mesa	2	Black_Mesa	23359_13.jpg
2	Black_Mesa	2	Black_Mesa	23359_18.jpg
2	Black_Mesa	3	Sosi	23359_25.jpg
2	Black_Mesa	2	Black_Mesa	23359_33.jpg
2	Black_Mesa	2	Black_Mesa	23361_04.jpg
2	Black_Mesa	2	Black_Mesa	23361_09.jpg
2	Black_Mesa	2	Black_Mesa	23369_07.jpg
2	Black_Mesa	2	Black_Mesa	23370_05.jpg
2	Black_Mesa	2	Black_Mesa	Blackmesa_001unkfa.jpg
2	Black_Mesa	0	Kanaa	CD_Black_Mesa_020.jpg
2	Black_Mesa	2	Black_Mesa	CD_Black_Mesa_079.jpg
2	Black_Mesa	2	Black_Mesa	CD_Black_Mesa_085.jpg
2	Black_Mesa	2	Black_Mesa	CD_Black_Mesa_101.jpg
2	Black_Mesa	2	Black_Mesa	CD_Black_Mesa_109.jpg
2	Black_Mesa	2	Black_Mesa	CD_Black_Mesa_111.jpg
2	Black_Mesa	2	Black_Mesa	CD_Black_Mesa_138.jpg
2	Black_Mesa	2	Black_Mesa	CD_Black_Mesa_161.jpg
2	Black_Mesa	2	Black_Mesa	CD_Black_Mesa_166.jpg
2	Black_Mesa	2	Black_Mesa	CD_Black_Mesa_170.jpg
2	Black_Mesa	1	Wepo	CD_Black_Mesa_179.jpg
2	Black_Mesa	2	Black_Mesa	CD_Black_Mesa_198.jpg
2	Black_Mesa	3	Sosi	CD_Black_Mesa_201.jpg
2	Black_Mesa	2	Black_Mesa	CD_Black_Mesa_220.jpg
2	Black_Mesa	2	Black_Mesa	CD_Black_Mesa_235.jpg
2	Black_Mesa	2	Black_Mesa	CD_Black_Mesa_237.jpg
2	Black_Mesa	2	Black_Mesa	CD_Black_Mesa_248.jpg
2	Black_Mesa	2	Black_Mesa	CD_Black_Mesa_249.jpg
2	Black_Mesa	2	Black_Mesa	CD_Black_Mesa_262.jpg
2	Black_Mesa	2	Black_Mesa	CD_Black_Mesa_267.jpg
